#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/18/2022 17:00:00,29.56,4336.64,,,,
2,03/18/2022 17:01:00,29.56,4220.16,,,,
3,03/18/2022 17:02:00,29.51,4124.16,,,,
4,03/18/2022 17:03:00,29.51,4017.92,,,,
5,03/18/2022 17:04:00,29.51,3921.92,,,,
6,03/18/2022 17:05:00,29.47,3842.56,,,,
7,03/18/2022 17:06:00,29.51,3749.12,,,,
8,03/18/2022 17:07:00,29.51,3659.52,,,,
9,03/18/2022 17:08:00,29.51,3580.16,,,,
10,03/18/2022 17:09:00,29.43,3484.16,,,,
11,03/18/2022 17:10:00,29.47,3397.12,,,,
12,03/18/2022 17:11:00,29.51,3272.96,,,,
13,03/18/2022 17:12:00,29.47,3064.32,,,,
14,03/18/2022 17:13:00,29.47,2776.32,,,,
15,03/18/2022 17:14:00,29.43,2327.04,,,,
16,03/18/2022 17:15:00,29.43,1909.12,,,,
17,03/18/2022 17:16:00,29.43,1682.56,,,,
18,03/18/2022 17:17:00,29.43,1557.12,,,,
19,03/18/2022 17:18:00,29.38,1504.64,,,,
20,03/18/2022 17:19:00,29.38,1358.08,,,,
21,03/18/2022 17:20:00,29.38,1225.60,,,,
22,03/18/2022 17:21:00,29.34,1167.04,,,,
23,03/18/2022 17:22:00,29.34,1146.88,,,,
24,03/18/2022 17:23:00,29.34,1132.16,,,,
25,03/18/2022 17:24:00,29.34,1119.68,,,,
26,03/18/2022 17:25:00,29.34,1109.76,,,,
27,03/18/2022 17:26:00,29.34,1098.88,,,,
28,03/18/2022 17:27:00,29.30,1087.36,,,,
29,03/18/2022 17:28:00,29.30,1074.88,,,,
30,03/18/2022 17:29:00,29.34,1064.00,,,,
31,03/18/2022 17:30:00,29.30,1047.68,,,,
32,03/18/2022 17:31:00,29.30,1034.24,,,,
33,03/18/2022 17:32:00,29.34,1021.76,,,,
34,03/18/2022 17:33:00,29.30,1004.48,,,,
35,03/18/2022 17:34:00,29.30,991.04,,,,
36,03/18/2022 17:35:00,29.30,974.72,,,,
37,03/18/2022 17:36:00,29.30,955.52,,,,
38,03/18/2022 17:37:00,29.30,934.08,,,,
39,03/18/2022 17:38:00,29.30,909.12,,,,
40,03/18/2022 17:39:00,29.30,889.92,,,,
41,03/18/2022 17:40:00,29.26,868.48,,,,
42,03/18/2022 17:41:00,29.26,841.92,,,,
43,03/18/2022 17:42:00,29.26,817.92,,,,
44,03/18/2022 17:43:00,29.26,789.76,,,,
45,03/18/2022 17:44:00,29.26,768.64,,,,
46,03/18/2022 17:45:00,29.26,743.68,,,,
47,03/18/2022 17:46:00,29.26,716.80,,,,
48,03/18/2022 17:47:00,29.26,688.64,,,,
49,03/18/2022 17:48:00,29.26,662.08,,,,
50,03/18/2022 17:49:00,29.26,635.20,,,,
51,03/18/2022 17:50:00,29.26,607.84,,,,
52,03/18/2022 17:51:00,29.30,580.48,,,,
53,03/18/2022 17:52:00,29.30,550.72,,,,
54,03/18/2022 17:53:00,29.26,522.08,,,,
55,03/18/2022 17:54:00,29.26,494.72,,,,
56,03/18/2022 17:55:00,29.26,468.00,,,,
57,03/18/2022 17:56:00,29.26,441.28,,,,
58,03/18/2022 17:57:00,29.26,412.32,,,,
59,03/18/2022 17:58:00,29.26,387.36,,,,
60,03/18/2022 17:59:00,29.21,363.04,,,,
61,03/18/2022 18:00:00,29.26,338.88,,,,
62,03/18/2022 18:01:00,29.26,313.92,,,,
63,03/18/2022 18:02:00,29.21,288.24,,,,
64,03/18/2022 18:03:00,29.26,264.96,,,,
65,03/18/2022 18:04:00,29.26,242.40,,,,
66,03/18/2022 18:05:00,29.26,220.00,,,,
67,03/18/2022 18:06:00,29.21,200.72,,,,
68,03/18/2022 18:07:00,29.26,179.84,,,,
69,03/18/2022 18:08:00,29.30,159.84,,,,
70,03/18/2022 18:09:00,29.30,141.52,,,,
71,03/18/2022 18:10:00,29.26,122.44,,,,
72,03/18/2022 18:11:00,29.26,105.76,,,,
73,03/18/2022 18:12:00,29.26,90.76,,,,
74,03/18/2022 18:13:00,29.26,77.38,,,,
