#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/18/2022 17:00:00,29.51,4232.96,,,,
2,03/18/2022 17:01:00,29.56,4125.44,,,,
3,03/18/2022 17:02:00,29.56,4038.40,,,,
4,03/18/2022 17:03:00,29.51,3941.12,,,,
5,03/18/2022 17:04:00,29.51,3897.60,,,,
6,03/18/2022 17:05:00,29.47,3742.72,,,,
7,03/18/2022 17:06:00,29.51,3656.96,,,,
8,03/18/2022 17:07:00,29.47,3569.92,,,,
9,03/18/2022 17:08:00,29.47,3488.00,,,,
10,03/18/2022 17:09:00,29.43,3407.36,,,,
11,03/18/2022 17:10:00,29.51,3303.68,,,,
12,03/18/2022 17:11:00,29.43,3197.44,,,,
13,03/18/2022 17:12:00,29.47,2992.64,,,,
14,03/18/2022 17:13:00,29.43,2698.24,,,,
15,03/18/2022 17:14:00,29.43,2339.20,,,,
16,03/18/2022 17:15:00,29.38,1953.92,,,,
17,03/18/2022 17:16:00,29.38,1721.60,,,,
18,03/18/2022 17:17:00,29.34,1520.64,,,,
19,03/18/2022 17:18:00,29.34,1537.92,,,,
20,03/18/2022 17:19:00,29.34,1316.48,,,,
21,03/18/2022 17:20:00,29.34,1172.80,,,,
22,03/18/2022 17:21:00,29.34,1115.20,,,,
23,03/18/2022 17:22:00,29.34,1096.64,,,,
24,03/18/2022 17:23:00,29.34,1083.52,,,,
25,03/18/2022 17:24:00,29.30,1072.96,,,,
26,03/18/2022 17:25:00,29.30,1059.84,,,,
27,03/18/2022 17:26:00,29.30,1047.68,,,,
28,03/18/2022 17:27:00,29.30,1037.12,,,,
29,03/18/2022 17:28:00,29.30,1025.92,,,,
30,03/18/2022 17:29:00,29.34,1016.96,,,,
31,03/18/2022 17:30:00,29.30,1006.40,,,,
32,03/18/2022 17:31:00,29.30,993.92,,,,
33,03/18/2022 17:32:00,29.30,981.12,,,,
34,03/18/2022 17:33:00,29.30,966.40,,,,
35,03/18/2022 17:34:00,29.30,951.68,,,,
36,03/18/2022 17:35:00,29.30,935.68,,,,
37,03/18/2022 17:36:00,29.26,923.20,,,,
38,03/18/2022 17:37:00,29.30,903.04,,,,
39,03/18/2022 17:38:00,29.30,887.68,,,,
40,03/18/2022 17:39:00,29.30,854.08,,,,
41,03/18/2022 17:40:00,29.26,831.36,,,,
42,03/18/2022 17:41:00,29.26,808.64,,,,
43,03/18/2022 17:42:00,29.26,782.72,,,,
44,03/18/2022 17:43:00,29.26,760.32,,,,
45,03/18/2022 17:44:00,29.30,734.40,,,,
46,03/18/2022 17:45:00,29.30,710.72,,,,
47,03/18/2022 17:46:00,29.26,685.44,,,,
48,03/18/2022 17:47:00,29.26,656.64,,,,
49,03/18/2022 17:48:00,29.26,632.32,,,,
50,03/18/2022 17:49:00,29.26,606.40,,,,
51,03/18/2022 17:50:00,29.21,584.80,,,,
52,03/18/2022 17:51:00,29.26,554.72,,,,
53,03/18/2022 17:52:00,29.30,528.80,,,,
54,03/18/2022 17:53:00,29.26,503.20,,,,
55,03/18/2022 17:54:00,29.26,480.32,,,,
56,03/18/2022 17:55:00,29.26,447.04,,,,
57,03/18/2022 17:56:00,29.30,420.64,,,,
58,03/18/2022 17:57:00,29.26,393.76,,,,
59,03/18/2022 17:58:00,29.21,367.84,,,,
60,03/18/2022 17:59:00,29.26,349.76,,,,
61,03/18/2022 18:00:00,29.21,321.92,,,,
62,03/18/2022 18:01:00,29.21,297.52,,,,
63,03/18/2022 18:02:00,29.21,273.68,,,,
64,03/18/2022 18:03:00,29.21,250.96,,,,
65,03/18/2022 18:04:00,29.21,229.60,,,,
66,03/18/2022 18:05:00,29.26,208.48,,,,
67,03/18/2022 18:06:00,29.21,192.00,,,,
68,03/18/2022 18:07:00,29.21,169.28,,,,
69,03/18/2022 18:08:00,29.26,149.56,,,,
70,03/18/2022 18:09:00,29.26,132.40,,,,
71,03/18/2022 18:10:00,29.26,115.20,,,,
72,03/18/2022 18:11:00,29.26,99.68,,,,
73,03/18/2022 18:12:00,29.21,85.84,,,,
74,03/18/2022 18:13:00,29.26,72.74,,,,
75,03/18/2022 18:14:00,29.21,61.68,,,,
