GO:0007154	GO:0006351;GO:0034645;GO:0097659;GO:0009059;GO:0044249;GO:0032774;GO:1901576;GO:0009058;GO:0034654;GO:0018130;GO:0019438;GO:0044271;GO:1901362	GO:0070925;GO:0060271;GO:0044782;GO:0120031;GO:0120036;GO:0030030;GO:0030031	GO:0051726;GO:0000075;GO:0045786	GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0042886;GO:0008104	GO:0042592	GO:0001775	GO:0002697	GO:0000002;GO:0007005	GO:0000086;GO:0044839	GO:0006396	GO:0016070	GO:0016567;GO:0032446;GO:0070647	GO:0001764;GO:0016477;GO:0048870;GO:0040011	GO:0032879	GO:0008218	unknown	GO:0048523;GO:0048519	GO:0050794;GO:0050789;GO:0065007	GO:0044255;GO:0006629	GO:0008150	GO:0007165	GO:0000184;GO:0000956;GO:0006402;GO:0006401;GO:0016071;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0044248;GO:1901575;GO:0009056;GO:0009057	GO:0000724;GO:0000725;GO:0006310	GO:0001666;GO:0036293;GO:0070482;GO:0009628	GO:0042981;GO:0043067;GO:0010941	GO:0006364;GO:0016072;GO:0034470;GO:0034660	GO:0001817;GO:0051239	GO:0000041;GO:0030001;GO:0006812	GO:0006928	GO:0032502	GO:0000045;GO:1905037;GO:0007033	GO:0032886	GO:0022607	GO:0000278;GO:0007049	GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219;GO:0000122;GO:0006357;GO:0045892;GO:0010629;GO:1903507;GO:2000113;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0009892;GO:0051172	GO:0000768;GO:0006949;GO:0140253;GO:0048646	GO:0022618;GO:0071826	GO:0023051;GO:0009966;GO:0010646	GO:0030154;GO:0048869	GO:0042754;GO:0042752	GO:0002009;GO:0048729	GO:0071702;GO:0071705;GO:0006820;GO:0006811	GO:0006397	GO:0006302	GO:0036297	GO:0065008	GO:0000209	GO:0000070;GO:0000819;GO:0051276;GO:0098813;GO:0007059	GO:0065003;GO:0043933;GO:0034622	GO:0033043	GO:0042221	GO:0051641;GO:0051649	GO:0000018;GO:0051052	GO:0007346;GO:0010564;GO:1901990;GO:1901987	GO:0001709	GO:0001558;GO:0040008;GO:0051128	GO:0006033;GO:0033037	GO:0001508;GO:0042391	GO:0009653;GO:0000902	GO:0007224;GO:0007166	GO:0000302;GO:0006979;GO:1901700	GO:0048518;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0048583	GO:0000226;GO:0007010;GO:0007017	GO:0006360	GO:0006281;GO:0006974;GO:0033554;GO:0051716	GO:0032501	GO:1903047;GO:0022402	GO:0007291;GO:0003006;GO:0007349;GO:0022414	GO:0001505	GO:0000082;GO:0044843	GO:0051301	GO:0000165;GO:0035556	GO:0051260;GO:0051259	GO:0003002;GO:0007389	GO:0033036	GO:0002218;GO:0045089;GO:0002833;GO:0031349;GO:0032103;GO:0045088;GO:0002831;GO:0031347;GO:0032101;GO:0080134	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	GO:0033108;GO:0032981;GO:0010257	GO:0003008	GO:0044260;GO:0043170;GO:0008152;GO:0044238;GO:0044237;GO:0071704;GO:0006807;GO:0090304;GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360	GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538;GO:1901564	GO:0016043;GO:0071840;GO:0006996	GO:0006915;GO:0012501;GO:0008219	GO:0009987	GO:0002376	GO:0001654;GO:0007423;GO:0048513;GO:0048856	GO:0001503	GO:0002237;GO:0010033;GO:0043207;GO:0009605;GO:0009607	GO:0002682	GO:0006810;GO:0051234;GO:0051179	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656;GO:0034220;GO:0055085	GO:0001568	GO:0000959	GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051174;GO:0051246	GO:0000462;GO:0030490	GO:0006950;GO:0050896	GO:0000375;GO:0008380	GO:0001894;GO:0060249	GO:0044419	GO:0010468	GO:0001101	GO:0001501;GO:0048731	GO:0015074;GO:0006259	GO:0044772;GO:0044770	GO:0007275	GO:0000003
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000	0.667	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.889	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.250	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0	1.000	1.000	1.000	1.000	1	0.842	0.842	1.000	0.000	1.000	0.167	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.842	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.842	1.000	1.000	0.000	0.889	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.842	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1	0.500	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.375	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.842	1.000	1.000	0.500	1.000	1.000	0	0.000	1.000	0.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.296	1.000	1.000	0.667	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.321	1.000	1.000	0.893	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.321	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	0.842	1.000	1.000	0.000	1.000	1.000	0.000	0	1.000	0.000	0.000	0.500	1.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.000	1.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	0.950	1.000	1.000	1.000	0.760	0.333	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	0.500	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
