"Plot Title: Logger_13"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20946642, SEN S/N: 20946642, LBL: C)","Coupler Detached (LGR S/N: 20946642)","Coupler Attached (LGR S/N: 20946642)","Host Connected (LGR S/N: 20946642)","Stopped (LGR S/N: 20946642)","End Of File (LGR S/N: 20946642)"
1,04/05/22 06:40:00 AM,23.833,Logged,,,,
2,04/05/22 06:41:00 AM,23.809,,,,,
3,04/05/22 06:42:00 AM,23.785,,,,,
4,04/05/22 06:43:00 AM,23.785,,,,,
5,04/05/22 06:44:00 AM,23.785,,,,,
6,04/05/22 06:45:00 AM,23.809,,,,,
7,04/05/22 06:46:00 AM,23.857,,,,,
8,04/05/22 06:47:00 AM,23.881,,,,,
9,04/05/22 06:48:00 AM,23.905,,,,,
10,04/05/22 06:49:00 AM,23.930,,,,,
11,04/05/22 06:50:00 AM,23.954,,,,,
12,04/05/22 06:51:00 AM,24.002,,,,,
13,04/05/22 06:52:00 AM,24.074,,,,,
14,04/05/22 06:53:00 AM,24.098,,,,,
15,04/05/22 06:54:00 AM,24.122,,,,,
16,04/05/22 06:55:00 AM,24.146,,,,,
17,04/05/22 06:56:00 AM,24.195,,,,,
18,04/05/22 06:57:00 AM,24.243,,,,,
19,04/05/22 06:58:00 AM,24.291,,,,,
20,04/05/22 06:59:00 AM,24.339,,,,,
21,04/05/22 07:00:00 AM,24.363,,,,,
22,04/05/22 07:01:00 AM,24.412,,,,,
23,04/05/22 07:02:00 AM,24.460,,,,,
24,04/05/22 07:03:00 AM,24.532,,,,,
25,04/05/22 07:04:00 AM,24.508,,Logged,Logged,,
26,04/05/22 07:04:09 AM,,,,,Logged,Logged
